value,emory_probability,nu_probability,ohsu_probability
0.0,,0.00006538657820872672,
0.1,0.0019142419601837673,0.0034814365909670835,0.0060240607201638785
0.11,,,0.006441452642298083
0.12,,,0.006746355961303921
0.13,,,0.007098622902679597
0.14,,,0.00738872508969486
0.15,,,0.007705469314293157
0.16,,,0.007939327199744236
0.17,,,0.008214628254768925
0.18,,,0.008519531573774762
0.19,,,0.008753389459225842
0.2,0.003177929509838916,0.004787573360551161,0.008984287118278806
0.21,,,0.009212224550933656
0.22,,,0.009452002889180964
0.23,,,0.009691781227428274
0.24,,,0.009907877754490663
0.25,,,0.010103252696766249
0.26,,,0.010307508318236179
0.27,,,0.010479201449326845
0.28,,,0.01068049684439866
0.29,,,0.01090251382425728
0.3,0.004116339854229755,0.005848111763204899,0.011020922880181876
0.31,,,0.011192616011272543
0.32,,,0.011337667104780173
0.33,,,0.011461996613501
0.34,,,0.011612968159804862
0.35,,,0.011778740838099298
0.36,,,0.011908990799616355
0.37,,,0.012054041893123986
0.38,,,0.012175411175446698
0.39,,,0.012341183853741134
0.4,0.004789922739467351,0.00683369482010717,0.012530638343220489
0.41,,,0.012649047399145087
0.42,,,0.012841462115022557
0.43,,,0.01295099049175281
0.44,,,0.013107882490852901
0.45,,,0.013235172225971842
0.46,,,0.013368382413887015
0.47,,,0.013504552828200301
0.48,,,0.013596319846541863
0.49,,,0.013699927770475887
0.5,0.0055872836762657025,0.007696478693544271,0.013815376600002368
0.51,,,0.01397226859910246
0.52,,,0.014102518560619516
0.53,,,0.014209086710951654
0.54,,,0.014342296898866826
0.55,,,0.014457745728393307
0.56,,,0.01457911501071602
0.57,,,0.014676802481853813
0.58,,,0.014762649047399145
0.59,,,0.014836654707352018
0.6,0.006252230883487433,0.008434868588925747,0.014913620593703006
0.61,,,0.015011308064840799
0.62,,,0.015108995535978591
0.63,,,0.015200762554320154
0.64,,,0.015292529572661718
0.65,,,0.01538429659100328
0.66,,,0.015449421571761808
0.67,,,0.015526387458112797
0.68,,,0.015615194250056244
0.69,,,0.015715841947592152
0.7,0.006934449446740895,0.0090265373819852,0.01579872828673937
0.71,,,0.01585793281470167
0.72,,,0.01592601802185831
0.73,,,0.01600890436100553
0.74,,,0.01611843273773578
0.75,,,0.016201319076883
0.76,,,0.016322688359205712
0.77,,,0.016402614471954815
0.78,,,0.016485500811102033
0.79,,,0.016577267829443597
0.8,0.007515918433142581,0.009630964531768309,0.01663351213100778
0.81,,,0.01673119960214557
0.82,,,0.016822966620487136
0.83,,,0.016899932506838123
0.84,,,0.017009460883568375
0.85,,,0.017104188128308054
0.86,,,0.01716931310906658
0.87,,,0.017237398316223226
0.88,,,0.017311403976176098
0.89,,,0.01741501190011012
0.9,0.008019666317401466,0.010157246746619036,0.01748013688086865
0.91,,,0.017571903899210213
0.92,,,0.017628148200774397
0.93,,,0.017690312955134808
0.94,,,0.017749517483097107
0.95,,,0.017808722011059406
0.96,,,0.017885687897410393
0.97,,,0.017956733330965154
0.98,,,0.01799817650053876
0.99,,,0.018104744650870898
1.0,0.008563714032401065,0.010667581015565196,0.018300119593146483
1.01,,,0.01836820480030313
1.02,,,0.018439250233857885
