value,emory_probability,nu_probability,ohsu_probability,rush_probability
0.0,,0.008070693029984964,,
0.01,,,0.0033140452393477116,
0.02,,,0.13932140978432403,
0.03,,,0.16546554445028933,
0.04,,,0.18290373487638084,
0.05,,,0.19739610731194107,
0.06,,,0.2097317201472909,
0.07,,,0.22014729089952656,
0.08,,,0.22943187795896897,
0.09,,,0.23855865334034718,
0.1,,,0.2461599158337717,
0.11,,,0.2528143082588111,
0.12,,,0.258916359810626,
0.13,,,0.2646238821672804,
0.14,,,0.2701998947922146,
0.15,,,0.27496054708048395,
0.16,,,0.2792740662809048,
0.17,,,0.2838243029984219,
0.18,,,0.2877958968963703,
0.19,,,0.29147816938453447,
0.2,,,0.29468700683850607,
0.21,,,0.2977643345607575,
0.22,,,0.3010520778537612,
0.23,,,0.30376117832719624,
0.24,,,0.3063913729615992,
0.25,,,0.3087585481325618,
0.26,,,0.3117569700157812,
0.27,,,0.3144660704892162,
0.28,,,0.31672803787480275,
0.29,,,0.31917411888479746,
0.3,,,0.32122567069963176,
0.31,,,0.32319831667543397,
0.32,,,0.32488164124145186,
0.33,,,0.326749079431878,
0.34,,,0.32856391372961596,
0.35,,,0.33011572856391375,
0.36,,,0.332140978432404,
0.37,,,0.33382430299842186,
0.38,,,0.33558653340347183,
0.39,,,0.33745397159389795,
0.4,,,0.33929510783798,
0.41,,,0.34068911099421356,
0.42,,,0.34229352972119936,
0.43,,,0.3442661756970016,
0.44,,,0.34566017885323513,
0.45,,,0.3469752761704366,
0.46,,,0.3486059968437664,
0.47,,,0.34994739610731196,
0.48,,,0.3511046817464492,
0.49,,,0.3525775907417149,
0.5,,,0.35378748027354023,
0.51,,,0.35478695423461337,
0.52,,,0.3563913729615992,
0.53,,,0.35744345081536033,
0.54,,,0.3586796422935297,
0.55,,,0.36004734350341927,
0.56,,,0.36141504471330876,
0.57,,,0.36257233035244607,
0.58,,,0.3636507101525513,
0.59,,,0.3645449763282483,
0.6,,,0.36546554445028934,
0.61,,,0.36657022619673857,
0.62,,,0.3677275118358759,
0.63,,,0.3690163072067333,
0.64,,,0.36996317727511835,
0.65,,,0.3708048395581273,
0.66,,,0.37154129405576014,
0.67,,,0.3726722777485534,
0.68,,,0.3733561283534982,
0.69,,,0.3743029984218832,
