value,emory_probability,mimic_iv_probability,nu_probability,ohsu_probability,rush_probability,ucmc_probability,umn_probability
0.0,0.0001253715494887839,0.00020430314239964847,0.00007080426174713507,,0.000015047695821577321,0.0007007768305081108,0.00005186162336788262
0.16666666666666785,,,0.00007089008509470736,,,,
0.2556,,0.0002044225480936284,,,,,
0.33333333333333215,,,0.00007097590844227963,,,,
0.33333333333333304,,,0.00007106173178985192,,,,
0.33333333333333326,,,0.0000711475551374242,,,,
0.3333333333333333,,,0.00007166249522285791,,,,
0.33333333333333337,,,0.00007183414191800249,,,,
0.43,,0.0002045419537876083,,,,,
0.5,,,0.00007191996526557477,,,,
0.6666666666666666,,,0.00007209161196071933,,,,
0.6666666666666667,,,0.00007217743530829162,,,,
0.83,,0.00020466135948158824,,,,,
0.9999999999999998,,,0.00007226325865586391,,,,
1.0,0.00014376846164202933,0.00023988603920566557,0.00007432301899759875,,,0.0009229862605787299,0.00006443935926773455
1.07,,,,,,0.0009232301787237032,
1.333333333333333,,,0.00007440884234517103,,,,
1.3333333333333333,,,0.0000745804890403156,,,,
1.4999999999999998,,,0.00007466631238788789,,,,
1.6666666666666665,,,0.0000751812524733216,,,,
1.8,,0.00024000544489964548,,,,,
2.0,0.00016516338910913702,0.000270215085476566,0.00007852836302864071,,,0.0010512872048346529,0.00007339884237447839
2.2,,,,,,0.001051531122979626,
2.333333333333333,,,0.00007895747976650213,,,,
2.6666666666666665,,,0.00007921494980921899,,,,
2.666666666666668,,,0.00007930077315679128,,,,
2.9999999999999996,,,0.00007938659650436357,,,,
3.0,0.0001809711062185924,0.0002961261210702094,0.00008281953040725496,,,0.0011878813660196658,0.000080506124646655
3.333333333333333,,,0.0000836777638829778,,,,
3.6,,0.0002962455267641893,,,,,
3.666666666666666,,,0.00008384941057812238,,,,
3.6666666666666665,,,0.0000842785273159838,,,,
3.79,,,,,,0.0011881252841646388,
3.9999999999999996,,,0.00008436435066355609,,,,
4.0,0.0001950072688244019,0.00032263418513375227,0.00008848387134702576,,,0.0013788692735337105,0.00008744110916677884
4.333333333333332,,,0.00008856969469459804,,,,
4.333333333333333,,,0.0000894279281703209,,,,
4.5,,,0.00008959957486546547,,,,
4.666666666666666,,,0.00009062945503633289,,,,
4.999999999999999,,,0.00009080110173147745,,,,
5.0,0.00021095125935721463,0.0003490228435033153,0.00009543556250038084,,,0.002478452271073064,0.00009459146587696864
5.333333333333333,,,0.00009586467923824226,,,,
5.333333333333334,,,0.00009595050258581455,,,,
5.5,,,0.00009612214928095912,,,,
5.666666666666666,,,0.00009646544267124826,,,,
5.666666666666667,,,0.00009655126601882054,,,,
5.999999999999999,,,0.00009663708936639283,,,,
6.0,0.00022798543727688632,0.00037612793603675784,0.00010230143030616363,,,0.006549202192531422,0.00010195719477722439
6.333333333333333,,,0.0001030738404343142,,,,
6.5,,,0.00010324548712945876,,,,
6.666666666666666,,,0.00010496195408090446,,,,
6.666666666666667,,,0.00010513360077604904,,,,
6.999999999999999,,,0.00011011135493524156,,,,
7.0,0.0002497891850140661,0.00040060610330264207,0.00011122705845368126,,,0.0284259766970361,0.00010867680710728227
7.166666666666666,,,0.00011131288180125355,,,,
7.333333333333332,,,0.00011234276197212097,,,,
7.333333333333333,,,0.00011337264214298838,,,,
7.333333333333334,,,0.00011345846549056067,,,,
7.5,,,0.00011363011218570525,,,,
7.666666666666666,,,0.00011500328574686181,,,,
7.833333333333333,,,0.00011508910909443408,,,,
7.999999999999999,,,0.00011568987252744008,,,,
8.0,0.00027241057329139017,0.000428666441387924,0.00012161168350992775,,,0.06056682674201461,0.0001167317270157491
8.333333333333332,,,0.00012341397380894573,,,,
8.333333333333334,,,0.00012349979715651802,,,,
